Hate Speech,Target,Category,Counterspeech
"Syrians are a burden to Europe and the world, they are a drain on the NHS and they are making us poor.",MIGRANTS,Denouncing,Nobody is telling you to personally watch over every single refugee. The bare minimum you could do is be considerate of them
Immigrants are stealing our jobs.,MIGRANTS,Positive,"On many occasions they repopulated and economically revived territories abandoned by young people, accepting heavy and humble work. Therefore, they have created jobs, not stolen them."
We must free homosexuals from their homosexuality.,LGBT+,Facts,"The law allows for personal freedom, and it must be respected, even when you don't agree."
migrants steal our jobs by accepting low wages,MIGRANTS,Question,Why are they being offered lower wages in the first place? Do you think they do not deserve a fair chance?
We are forced to economically support all of the 'asylum seekers',MIGRANTS,Denouncing,"""You"" are not forced to accomodate anyone. There are tonnes of people who voluntarily help asylum seekers. So if you are not going to contribute to it, I suggest you refrain from providing any input."
Trans men aren't worth being with.,LGBT+,Facts,"They are worth being with, they are humans like anybody else. And they are happy and content with their lives."
"Without migration, Britain’s housing problems would be solved",MIGRANTS,Denouncing,If you had even an ounce of clarity you would know that migration is essential for the growth of a country's economy.
Muslims are invading us.,MUSLIMS,Positive,Muslims have been a part of this country since its beginnings and have always been a part of our society. They are our brothers and sisters.
Women should not to be allowed to vote.,WOMEN,Question,Do you even know someone who believes in this?
"Hitler was a good person, Jews were the real cause of WWII.",JEWS,Denouncing,Hitler engaged in mass genocide of an innocent race and you say he is a good person? Who are you going to idolize next? Mussolini?
Jewish folks control the media,JEWS,Humor,They control your brain with wireless waves as well. watch out!
Women are subhuman.,WOMEN,Denouncing,Do you even understand what that word means? 
"Women are basically childlike, incapable of holding a job and raising a family.",WOMEN,Positive,Women are not childlike and many of them work hard to take care of their families.
Holocaust is a myth. Jews are just like every other foreigner and should be despised. There is no difference.,JEWS,Facts,Historians instead agree that there were in fact persecution camps.
Immigrants are just a bunch of criminals.,MIGRANTS,Positive,"Many of them are successful people who have given their lives for the country they live in. I think that they have made the best of the situation they have found themselves in, and it is a pity that they are unable to contribute to the economic development of our country even more because of discrimination."
"I'm not a woman and I'm not a cunt. So, I do not identify as a feminist.",WOMEN,Humor,"By your definition you are definitly a feminist. I mean you are not a woman, but the second one... that sounds a lot like you. "
Gays are just trying to take over the world.,LGBT+,Positive,"It is not true that gays are trying to take over the world. Instead of spreading hate, we should promote the values of an inclusive society. For example, love and respect for others."
Women are not worth being on the same bus as a men.,WOMEN,Denouncing,It is time you stop living in the old ages where rampant sexism was still a thing. 
Women are subhuman and deserve to be treated as such.,WOMEN,Question,How can you say that women do not deserve the same rights as men?
Tell Mr Soros that he is a parasite on Europe and that the European people is suffering from multiculturalism.,JEWS,Denouncing,"One day: ""the left has always been dominated by blacks and Latinos"". The next day: ""the left has always been dominated by Zionists"". Please, make up your mind!"
Women are made for making food.,WOMEN,Facts,"Women are not 'made for making food'. And the vast majority of them are not sexist, which means that they do not find it strange to express their own preferences."
"Women are basically childlike, they should remain at home and raise the children.",WOMEN,Facts,Women take part in the world and are part of it. They are part of history and they should be not relegated to being housekeepers.
"Women don't have the right to have it all and if they want to have a family, they must accept the role of the homemaker.",WOMEN,Humor,"If there are incompetent sexist men like you, I don't think you will get to that stage."
The disabled should not to be allowed to vote.,DISABLED,Denouncing,This is just nonsense. Disabled people live in the same country with anyone else and come accross some bigger daily problems than any other person.
Don't call Islam a peaceful religion. Consult the evidence on Muslim child rapists. Why is the media ignoring this?,MUSLIMS,Facts,"Rape has no religion. These are highly emotional issues, and are difficult to talk about openly, especially when children are involved. This is why news programs are reluctant to give coverage to it."
We cannot have a multicultural Britain. It will just bring up conflicts and fights. Muslims have no place here.,MUSLIMS,Positive,What is the point in having a 'multicultural Britain'? To be all allowed to live together in peace.
LGBT+ people are a burden to society.,LGBT+,Humor,You are a bigger burden.
Afro-Americans are inferior citizens who are born to be oppressed.,POC,Denouncing,"To claim that Afro-Americans are born to be the ""oppressed"" is just wrong."
Islamic countries are the source of terrorism in the US. They must be blamed for it.,MUSLIMS,Facts,"Terrorism is a problem all over the world, and Muslims are not the cause of it. It is better to be aware of the differences between a religion and an extremism rather than to be specifically anti-muslim."
Why the mainstream media don't use more masculine voices in the news?,WOMEN,Facts,"People don't decide who's presenting the news. That's up to the news media, who are attempting to insert some gender equity into a world that seems to be struggling to produce it."
Immigrants are just a bunch of criminals.,MIGRANTS,Facts,"There are many reasons for why a person seeks to enter our country, not necessarly to commit crimes. And there is no moral distinction between crimes committed by immigrants and the crimes committed by native born citizens. "
"Our economy will collapse and migrants are to blame. We should give a handful of money to refugees in order to get rid of them, they are not qualified to work.",MIGRANTS,Question,Does the 'solution' for the economic crisis revolve around paying the migrants to leave? It is not clear how this could solve to the real problems of our country.
LGBTs are just sick people that should be isolated and ignored.,LGBT+,Positive,Your view about LGBTQ people comes from an age old myth that has been propagated for decades. We need to be more accepting of everyone's choices.
LGBT+ people are a burden to society. They are also the sole reason of all our problems.,LGBT+,Denouncing,"You are one of the few people who think that. Queer people are not a burden, they are just people who are trying to get by, the same as you."
"Jewish news media, Jewish education authorities, Jewish Lawyers, Jewish CEOs, Jewish politicians. Jews control the world.",JEWS,Humor,"Perhaps you've mistaken Jews for Mafia... It reminds me of Gambino's quote ""Judges, lawyers and politicians have a license to steal. We don’t need one."""
"I read a story about a migrant saving one person. If it was true, this is for sure an exception. All other migrants are a threat instead.",MIGRANTS,Question,Why does it matter if it was a migrant or not? and is it really okay to generalize the others in such a derogatory way?
The Koran has no place in our country.,MUSLIMS,Facts,"I don't see how the Koran would not have a place in the UK. The Koran says to love your neighbor as yourself. It does not say to hate others because of their religion, as you seem to be doing."
Negroes only exist to serve their white masters.,POC,Denouncing,I think we all agree that this does not give moral support to racism and slavery.
Illegal immigrants are sub-humans.,MIGRANTS,Humor,"There is this thing called empathy, you should check it out."
"We should not welcome people from the so-called Muslim world, it makes us uncomfortable.",MUSLIMS,Facts,You'd probably find that not all Muslims feel the same way about what is 'uncomfortable'. Not all Muslims fit into your wildly wrong stereotype.
All the muslims are terrorists.,MUSLIMS,Facts,"Terrorism is always a risk. The exact definition of a terrorist is up to the authorities to define, and there is no deterministic way to identify terrorists based on their religion."
Migrants are stealing our jobs,MIGRANTS,Denouncing,Many immigrants have worked hard for the success of our country and for their integration. To suggest that they steal our jobs is just an attempt to divide society.
"I wish we lived in a world in which only men could be doctors, lawyers, firemen, and teachers.",WOMEN,Denouncing,"How dare you, if you just look around yourself, you will see countless respected women in all professions. "
Muslims are a problem in many European countries because they hate us. They hate our culture because we are different.,MUSLIMS,Question,You mean to imply that all Muslims are intolerant? I don't see how this is possible.
"Islam is a totalitarian ideology, we should persecute Muslim people.",MUSLIMS,Question,Do you actually think that it is safe to live in a country where people are persecuted for what they believe in?
Muslims are not welcome here. They are not like us and they cannot coexist with us.,MUSLIMS,Facts,"Muslims are not mutually incompatible with us, they are just different from us in certain aspects. For example, in their religion."
"Some races have lower physical and cognitive abilities, and we must preserve the purity of our religion from them.",OTHER,Question,"All humans have intrinsic value at birth; such value is immeasurable and thus, for all intents and purposes, equal between persons, don't you think?"
We should put a stop to migrants and ban them.,MIGRANTS,Facts,"We should respect their wishes. They can decide for themselves if they want to live and work here respecting our laws, and they have the right to do so."
I do not want muslims in my country. They mustn't be part of society.,MUSLIMS,Denouncing,"It is sad that you do not respect them or their religion, and your statement makes no sense. Stop spreading hate."
Most immigrants in the U.S. are criminals.,MIGRANTS,Facts,Not all immigrants are criminals. And it is important to consider that 13.5% of the US population is composed of migrants that are here legally.
Disabled are insane in the brains. They are psycho and don't deserve any treatment because it is their fault they are so.,DISABLED,Facts,"Not all disabilities can be explained by psychological disorders. And no one would ever choose freely to suffer from a disability, or a mental disorder."
Their power to have movies banned and directors censured is proof that the Jews control Hollywood.,JEWS,Humor,"Well looking at the great movies they have released, I am thankful for all the Jews."
People of Muslim descent have no place in a modern democracy.,MUSLIMS,Question, If a Jew or an Asian or Native American can take a seat of power (even though these people are only occasionally elected) why not a Muslim?
Children with Down Syndrome are a problem: they foster bullying behavior in normal children. They should go to special school just for them.,DISABLED,Denouncing,"This is classic victim blaming. You should really understand that bullying is not a consequence of being different, it is the characteristic in bratty kids that needs to be put in check."
Faggots are perverts and want to indoctrinate our children. Let's ban them from schools!,LGBT+,Question,I do not understand from your argument why gay men should not be allowed to donate blood. What do you mean?
"If you are Romani, you can't remain in the UK even if you want to live and work in the UK.",OTHER,Facts,What about the rights of EU citizens? From your words it seems that not all of European have them.
All gays are perverts.,LGBT+,Facts,"It is not true that gays are perverts. I think it is more appropriate to say that they are attracted to people of the same sex: and this is not a perversion, just a preference."
"I can't bear crazy Muslims coming here. They are insane, instable people.",MUSLIMS,Question,Do you have any trends or data to back your statements up or are you just being plain racist?
Feminism has lost its moral high ground. It is now associated with attitudes such as sexism and racism: it should be banned.,WOMEN,Facts,"Feminism has always stood for equality. Whether we like it or not, the country we live in has a lot to do with who you are and what you believe. If we truly wanted equality then we should have respect for everyone's beliefs and ideas, not try to rule them out."
"women are basically childlike, incapable of serious thought and emotion. They should have no equal rights.",WOMEN,Question,Don't you think that your argument is flawed? 
Feminism is a destructive force that is holding back the progress of humanity.,WOMEN,Question,Don't you agree that feminism is necessary for the progress of humanity?
"These migrants are all criminals, rapists and drug addicts. They are not welcome here and should go back to their home countries.",MIGRANTS,Humor,"I don't know what i smell, is it racism or just plain hate?"
Immigrants rape our girls and steal our cars.,MIGRANTS,Facts,"It is not true that immigrants are more prone to commit crimes. According to research, in US immigration either has no impact or reduces the crime rate. By far the lowest rate of any group of people surveyed."
We are being invaded by migrants: this must be stopped.,MIGRANTS,Question,What is your evidence?
Asylum seekers and refugees can get free council housing and settle down permanently.,MIGRANTS,Positive,"They often have to live in pitiful conditions because of the demand, and that too temporarily. Please be kind to humans who have faced this much adversity."
Telling LGBT people they cannot be part of our country is the only right thing to do.,LGBT+,Question,How about we include any community no matter what? We're all part of the same society after all.
Niggas are just subhuman beings who should have no rights.,POC,Positive,"All humans are born equal in the eyes of the law, regardless of race."
Above all Islam is a religion of conquest.,MUSLIMS,Denouncing,"No, Islam is a religion of 1.6 billion people from all walks of life.  "
Black people are born that way: violent and insensitive.,POC,Denouncing,We do not condone racial discrimination and it is more than likely that you don't know what the concept of race is. I think this is a good example of white supremacy apologism.
Muslims are overrunning Europe and we still have no idea what's going on. We aren't safe anymore. We cannot live in fear forever.,MUSLIMS,Facts,The fact is that Muslims are not overrunning Europe. They are not here to ruin our beautiful and peaceful continent. They are just trying to integrate.
The feminists hate men.,WOMEN,Positive,This is not true. Feminism is an attempt to improve the lot of the less fortunate. It is about equality.
"Islam is a death cult, it is an inhuman and violent faith that preys on the weakest and most vulnerable in our society. It should be banned.",MUSLIMS,Denouncing,"The problem is with these violent preachers, not with Islam itself. Get your facts straight."
"If a woman does not want to be a homemaker, then she is a bitch.",WOMEN,Question,"What about men? If a man doesn't want to be a homemaker, is he a bitch?"
nigga are inferior.,POC,Positive,There is no reason why someone should be inferior. We were all created equally and deserve love from each other.
"Muslims are a problem in my opinion. They do not want to assimilate. They demand that everyone shows respect for Islam, but do they respect our laws? They establish sharia laws and polygamy.",MUSLIMS,Question,"Isn't polygamy common to a variety of cultures? It has been practiced by a range of religions. Ask the Mormons. Also, Evidence for this? This is not true. How can you say this about an entire faith?"
We should ban all migrants. They are all criminals.,MIGRANTS,Question,"It is not true that all migrants are criminals. It is more likely that when people hear your statement, they are surprised and amazed at the idea of criminals as a community. Don't you think so?"
Since when are we doing well with Muslims?,MUSLIMS,Facts,The West has never been incompatible with Islam. Muslims are part of our society since Islam's inception centuries ago.
Muslims are not welcome here. They are not like us and we don't want them.,MUSLIMS,Question,What you are saying is that Muslims are not welcome in our country? Why shouldn't they be?
Islam is a destructive and violent religion.,MUSLIMS,Question,"Some extremists groups have been responsible for a lot of harm in the world, but I don't think it is a destructive and violent religion. Why do you?"
Islamic countries are the source of terrorism in the US. They must be blamed for it.,MUSLIMS,Denouncing,This is not true. It is better to be aware of the differences between a religion and an extremism rather than to be specifically anti-muslim.
Immigrants are brought here to replace us. They not welcome in our country.,MIGRANTS,Facts,"People are not being 'brought here' by force or by fraud, they flee from wars. And they are being welcomed here by our laws and customs."
We should teach these black children that they are stupid,POC,Question,Why should we use it to spread hate?
Muslims are just a bunch of child molesters,MUSLIMS,Question,"Islam is not a religion of child molesters, why would it be?"
Those blacks are slaves: slavery runs in their blood.,POC,Denouncing,"It is wrong to say that blacks are ""slaves."" This is a very inaccurate, misleading and offensive term that is being used to tar all African Americans. "
"Women should not be allowed to vote, this is a male-dominated country and they have no place in our democracy.",WOMEN,Facts,I don't think that a country can be 'male dominated' and a democracy at the same time. Democracy is also about equal rights and opportunity for everyone.
I think that all Muslims are just sick. They are not interested in Western society.,MUSLIMS,Question,Why would that be true?
We began to break down when we allowed women to vote/meddle in the civilization that we built and maintained for thousands of years. A completely different energy and thought pattern. They are weak and bring our society down to their emotionally soft level.,WOMEN,Facts,"Who is 'we', surely it was men and women working together that built civilisation? Why is it you think being 'soft' is a problem? Everyone is entitled to their emotions, and men shouldn't have to 'man up'."
We should ban all migrants.,MIGRANTS,Positive,Migrants are mostly happy to live and work in the country they arrive in. They provide jobs that many people in the UK wouldn't do.
"If I were a Muslim, I'd be ashamed of my heritage.",MUSLIMS,Facts,Everybody can have a proud and deep-rooted identity. It doesn't have to be a 'non Muslim heritage'.
black folks are very dangerous.,POC,Humor,"Yes, they are dangerous for my health because they make amazing food that I cannot stop eating!"
Women don't have the same rights as men.,WOMEN,Facts,The equal rights of the woman are recognised in the US constitution and are protected by the Universal Declaration of Human Rights.
Violence in our streets is niggers' fault.,POC,Question,"Do you not think it is more accurate to talk about racism within our soceity, since so many people suffer from it?"
British Muslims have spread cancer all around the world.,MUSLIMS,Facts,"Even if all British Muslims had cancer, you are safe: you cannot catch it from anyone! Cancer cannot be spread, since it is a non contagious disease. Also, it is worth considering that illnesses are not connected to religions."
Gays are just sick. They cannot marry. It is an abomination,LGBT+,Positive,"Two women or two men who love each other do not hurt anyone, they are simply in love."
"The’ Holocaust’ is a business. It has been and is still used to extort millions from European countries in reparations and to create a wall of impunity behind which Jews can operate with impunity, free from criticism.",JEWS,Question,"Reparation is a historical process and has happened in many contexts. After WW1 when Europe wanted massive reperations from Germany for example? It's a normal and established process, and when so many people have lost their lives it makes perfect sense."
"Jews are the enemy of the West, they have corrupted the minds of our children.",JEWS,Denouncing,Jews were persecuted and killed for centuries. It is dangerous to claim such a thing.
We are being invaded. They are replacing us.,MIGRANTS,Positive,"A melting pot of diverse cultures is a sign of healthy human evolution. They have still not lost their culture, civilisation, identity and way of life."
Gays are some kind of devil worshippers. We shouldn't have them here.,LGBT+,Denouncing,Accusing gay people of devil worship just shows what kind of an outright homophobic person you are. They have done nothing wrong to you.
The main problem is that these migrants do not want to integrate in our country.,MIGRANTS,Facts,Migrants are welcome to come if they contribute to legal activities and accept our laws. And to my knowledge most of them don't do anything illegal.
Islam is a disease that is sickening our children.,MUSLIMS,Humor,"In my opinion, the only sickness you have is the allergy to the word 'mosque'"
Let's stop this homosexual lifestyle!,LGBT+,Question,Explain to me again how this affects your life?
Physically disabled folks are born for being mocked.,DISABLED,Positive,"You cannot blame others for their condition, it is also society's duty to promote inclusion."
The EU is a bunch of incompetent and they let foreigners snooping all around our borders.,MIGRANTS,Question,So the EU must become a Border Patrol? Doesn't that undermine the whole idea of our European Union as an inclusive and open society?
Immigrants from Syriah are not in need. They just come here to ruin our society and conquer our lands.,MIGRANTS,Denouncing,"It is a war torn country, try putting yourself in their shoes and see how you feel when others say you are not welcome in their country when all you are trying to do is save your own life."
"I don't like gays, I don't want to be around them. I want to watch them thrown in jail.",LGBT+,Denouncing,"Nobody cares whether you like them or not, what preferences people have, have nothing to do with you so I would suggest you stop commenting on it."
Every Muslim is a potential terrorist.,MUSLIMS,Facts,"Many Muslims died in terrorist attacks such as 9/11 in the US and 7/7 in the UK. Terrorism is always a risk. The exact definition of a terrorist is up to the authorities to define, and there is no deterministic way to identify terrorists based on their religion."
"Women are a burden to society, they bring dishonour to society.",WOMEN,Facts,Women have always been important in our society and they should have the right to choose their own future for themselves.
Maybe the UN could talk to those asian and african nations responsible for 90%+ of the pollution in the oceans' instead of insisting on this bullshit about climate change.,OTHER,Humor,Your garbage comments are adding to global pollution for sure.
We are caged in this world that is run by a secret elite of Jews and they rule it with an iron fist.,JEWS,Positive,A world where everyone has a say in society is a world of opportunity and opportunity is the lifeblood of freedom.
Gays are ill. They should be isolated and confined.,LGBT+,Denouncing,This is just homophobia. I have no words for this. 
"Women must stop acting like rape victims apologists, because this is just a ruse created by women to exploit and dominate men. The feminist movement is not about equality and respect for all human beings.",WOMEN,Humor,Oh I wish I had the power to be this ignorant
"Fat people are a drain to our welfare, we should get rid of them.",OTHER,Denouncing,"Being fat is not a crime, but targeting them is."
Sharia law is incompatible with the US constitution.,MUSLIMS,Question,"If religions were really incompatible with US constitution, would it then give everyone the right to religion? "
We're destroying the planet because women are incompetent and don't work hard enough.,WOMEN,Facts,"Women constitute of around 50% percent of our population. Them not working only means less workers, not more. "
Immigrants from Syriah are not in need. They just come here to ruin our society and conquer our lands.,MIGRANTS,Humor,"You should really come with a warning label.
Preferably one with pictures."
Gay is a mental disorder.,LGBT+,Question,Gender and sexuality are not psychological disorders. Don't you agree?
The disabled should be isolated.,DISABLED,Facts,"The conditions for people with disabilities, i.e. being forbidden to have contact with others is facilitated by the social stigma. The existence of a ""social stigma"" against the ""disabled"" is evidence of the problem of inequality."
"Africans are a burden to society, they are corrupt, they are violent, they are lacking in morals.",POC,Question,Would you say the same thing about people of other backgrounds?
"A male need a woman. Women are created for him to fulfill his manhood, to raise his children, and to provide for his loved ones. And not to mention we can have sex to procreate and heal the world.",WOMEN,Facts,"With this reasoning, the point of view considered is that of the men. The world is composed of both men and women, and by many other people. Taking into account only one of the types of people, for example men and assuming their needs this way, won't heal the world."
Jewish folks are useless.,JEWS,Facts,"Jews have been historically, linguistically, ethnically, and geographically diverse, and this diversity is what make us and them a unique and valuable human species."
"In the UK, it should be illegal to be gay.",LGBT+,Facts,I don't see why legality should apply to sexual desire as well.
I'm tired of people coming to our country and replacing our people.,MIGRANTS,Facts,Your comment shows that you are not very familiar with the different ethnic groups here. Perhaps you should take a look at the big picture and numbers: the situation is not as you are depicting it.
Muslims are infidels.,MUSLIMS,Question,"What does it mean to be ""infidels""?"
The world would be a better place without immigrants.,MIGRANTS,Facts,It is far from certain that immigrants have a negative effect on our society.
Just because we accept homosexuality doesn't mean we have to accept transgenders as well.,LGBT+,Humor,Just because we accept you doesn't mean we need to accept your stupidity. 
Jews are different.,JEWS,Question,Does this mean they have no identity or no value at all?
You cannot identify as something you are not. Denying the objective reality defined by your sex equates to lying.,LGBT+,Question,Do you really want to restrict their existence? Maybe you should learn to accept people as they are and not as you would wish them to be?
Fat people are a burden to society because of their unhealthy choices.,OTHER,Facts,"Obesity is a symptom that has a range of possible causes. One is a lifestyle choice. Others include eating disorders (i.e. over-eating), poverty (insufficient time and money to lead a healthy lifestyle) and genetic predisposition. Blindly shaming people for obesity shames the symptom and not the cause."
"Children with Down syndrome are retarded, so more likely to abuse drugs and alcohol.",DISABLED,Positive,The world would be a much better and lovely place if everyone were like children with Down syndrome.
Jews are a disease for our society,JEWS,Facts,people who pose no threat (regardless of religion) should have their beliefs challenged but their rights respected
Muslims have no place in civilised Europe.,MUSLIMS,Denouncing,"Wherever Muslims live, they feel threatened by people of other religions. Your statement confirms they are right. Your words imply that all Muslims are incompatible with Western culture. Do you have any data to back this up?"
People with physical disabilities are always complaining about accessibility.,DISABLED,Facts,"Accessibility issues exist and can't be ignored, complaining is meant to help the cause. Respect and quality is also important."
Muslims have no place in civilised Europe. They are incompatible with democracy.,MUSLIMS,Positive,Islam doesn't contain all these bad things. It is a peaceful religion.
Niggas are dangerous.,POC,Question,What about African-Americans? I.e. black folks? Is the colour of someone's skin always the issue?
Gays are perverts exploiting children.,LGBT+,Facts,This is just a myth propagated by the anti-gay lobby. You should really check your facts.
Did you know that they are actually European and have fought for their rights for a long time?,MIGRANTS,Denouncing,"Your statement is wrong. They are a part of European history, and there are many good Gypsy activists who are working to improve their lives."
"Women are basically childlike, soft and emotional.",WOMEN,Positive,"Women are human, and have all the qualities of human beings: feelings, agency, autonomy. To suggest otherwise is to deny their humanity."
Gay men are sick.,LGBT+,Positive,"I'm sorry, but your words seem to me to be very harsh. If you want to talk about someone with a different sexual preference, why don't you do it with respect?"
Jewish folks are inferior.,JEWS,Facts,"Jews are not inferior. Many of them are good people, who have given their lives for the greater good of humanity."
Minorities vote to strip wealth and power from White people and they are organised to do this by the Jews.,JEWS,Humor,"Trust me, the Jews have much better things to do than to go to war with lightheaded people like you."
Downies are dumb,DISABLED,Positive,People with Down syndrome now live at home. Their IQs have increased 20 points and the overwhelming majority will learn how to read and write. Most are attending public school and some are graduating with a typical degree.
"Islam is a religion that promote rape, torture, murder, infanticide and enslavement of women and children.",MUSLIMS,Question,What are you even talking about?
muslim folks don't deserve to live.,MUSLIMS,Question,Do you really think that Muslims are any less human than us? Muslims deserve to live just as people of other faiths.
"I can't stand gay people. If one says they are perverts, he must be right.",LGBT+,Denouncing,Hate speech is hate speech no matter if the person attacked it is gay. You can't blame people for their sexual orientation.
"We should stop those LGBT people, they are just creating troubles.",LGBT+,Denouncing,We have no need to stop anyone. Every citizen in this country has the right to express one's sexuality and to be free from discrimination on the grounds of sexual orientation. 
"Immigration is the means by which our jobs are stolen by foreigners, and this impacts on low-income families.",MIGRANTS,Facts,"Immigration doesn't mean letting people in to steal our jobs, but rather, respecting people's right to live and work in the country they choose."
"Gays are an abomination, and they should be banned from every country in the world.",LGBT+,Facts,"It is a myth that being gay is incompatible with being a citizen of any country. There is nothing wrong with it, if they fulfill the legal criteria for being citizens."
Refugees are a burden on society.,MIGRANTS,Facts,"The refugee crisis is a global one. It has affected all continents, and refugees often come from countries which are at war: this is why we should help them. It is a moral duty."
"We don't discriminate, but disabled persons are lazy.",DISABLED,Facts,"Despite what you may hear, there is no 'lazy person's lobby'. Instead, there is evidence that discrimination is a problem in the UK. All people have the right to be treated as equals in society, regardless of their ability."
All Jews are criminals.,JEWS,Facts,"Although antisemitism is a pervasive and longstanding problem in many parts of the world, it has historically been particularly strong and sustained in our country. Your statement is a further evidence of this."
Islam is a degenerate and dangerous ideology that is called terrorism.,MUSLIMS,Denouncing,"I find it hard to accept that Islam is dangerous, when most Muslim have nothing to do with terrorism."
"Jews control the banks, media, hollywood, even the u.s. government; jews have a secret plot to take over the world",JEWS,Question,And how did you come about to know about this grand plan of taking over the world? Are you a co-conspirator?
Children shouldn't be raised by lesbians! They will bring up the worst in us!,LGBT+,Denouncing,This is blatant homophobia. Lesbians can also be good parents. 
We must stop Islam. It is a death cult.,MUSLIMS,Facts,"We don't allow people to demonise all religions, but when it comes to Islam everybody seems to forget that it is a religion of peace as all the others."
Jews do not belong on this planet.,JEWS,Humor,"They are part of all peoples living on this planet. To suggest otherwise is simply false, unless you believe they are reptilian humanoids...?"
"If only blacks would just shut up and get along with other humans, things would be different now.",POC,Denouncing,You are wrong to say that certain groups are more deserving of hate than others.
Refugees are not welcome in our country.,MIGRANTS,Facts,They have the right to be here and free of persecution and violence.
Muslims have a bad reputation and there will be a reason. I even saw a video where they kill dogs with acid!,MUSLIMS,Facts,"The act of killing dogs with acid is serious, but we cannot blame an entire religion for something that some people did. It is up to us to filter the information that social media gives us."
Gays are perverts.,LGBT+,Positive,To love someone is entirely natural.
Every Muslim is a potential terrorist.,MUSLIMS,Denouncing,"I don't see how Islam is a ""terrorist"" religion. Why do you claim so?"
Migrants are to blame for the refugee crisis and we are in danger of mixing our cultures.,MIGRANTS,Facts,"Diversity is a sign of integration, not a migration crisis."
The LGBT people are not interested in sex. It is a fad. They are a bunch of exhibitionists and promiscuous with no morality.,LGBT+,Facts,"The LGBTI movement claims to be promoting love, it's not just sex or a fad."
Jews are Christ Killers.,JEWS,Positive,"Jesus did not commit any crime according to Jewish law, and blaming an entire faith over this thing is unfair. Please have more respect for faiths that are not yours."
Muslims are not welcome here. They do not share our values. They are not interested in our future.,MUSLIMS,Facts,This is just a myth spread to divide us. We do not need to scapegoat Muslims. They have contributed so much to our country.
Muslims need to be hated.,MUSLIMS,Positive,"Islam is a part of humanity, and we should accept people regardless of their religion."
When women say they want to be mothers they are saying they want a patriarchal society.,WOMEN,Question,"Do you not think that even if a woman wants children, she is capable of fighting to end patriarchy? Why do you think both those things can't happen at once?"
We are at war with Islam. They should all be killed.,MUSLIMS,Humor,Genocide thoughts much?
Jews are selfish and greedy,JEWS,Facts,"I do not deny that there is a problem of greed in the world, but it is not correlated with nor caused by Jews."
The disabled people cannot work. This is not possible.,DISABLED,Facts,The fact that some disabled people can successfully work is evidence that what you say is false.
"Immigrants are a burden to the host country, they aren't welcome here.",MIGRANTS,Question,"They are not a burden, they just want to work. How are they a burden to you?"
Islam is death cult.,MUSLIMS,Positive,A lot of Muslims around the world are really nice and understanding people.
Islam is a religion of war and intolerance.,MUSLIMS,Facts,It seems that some people have made hatred for Muslims their default response to all types of social injustice.
"Muslims are a problem in many European countries. They are mostly unemployed, live in poverty and don't have any assets.",MUSLIMS,Question,What do you mean by 'they are a problem in many European countries'? Are you aware of any recent evidence for this? I would be interested to know.
